lawyer,attorney,solicitor,counsel,litigator,barrister,prosecutor,cocounsel,lawfirm,counselor,advocate
judge,court,magistrate,jury,courtroom,justice,preside,district,supreme,circuit,chief
complaint,allegation,affidavit,grievance,counterclaim,lawsuit,petition,accusation,plaint,indictment,appeal
statute,law,statutory,act,constitutional,bill,legislative,decree,edict,ordinance,regulation
plaintiff,claimant,appellant,respondent,pettitioner,tort,complainant,suer,applicant,settle,prosecutor
defendant,litigant,offender,suspect,codefendant,prisoner,transgressor,alibi,accomplice,plea,defender
witness,eyewitness,testimony,testify,corroborate,evidence,affidavit,testimony,crossexamination,oath,bystander
victim,assailant,complainant,survivor,attacker,offence,assault,battery,lawsuit,suspect,injure
violation,breach,flout,infringement,misdemeanor,felony,infraction,noncompliance,contravene,unlawful,transgression
manslaughter,homicide,negligent,involuntary,attempt,vehicular,acquit,conviction,inquest,guilty,fatal
murder,homicide,murderer,slaying,killer,death,criminal,firstdegree,massacre,assassination,crime
assault,weapon,threat,sexual,violence,harrassment,brawl,melee,altercation,incursion,argument
appeal,appellate,judgment,rehearing,uphold,judgment,reconsider,overturn,ruling,verdict,reconsider
battery,assault,grievous,harm,inflict,aggression,offence,violation,incursion,punch,hit
crime,organized,mafia,cybercrime,killing,gang,terrorism,corruption,arson,mugging,rape
obscenity,pornography,vulgarity,indecent,lewdness,indecency,nudity,porn,prostitution,voyeurism,pedophilia
rape,sexual,domestic,violence,torture,offence,gang,consensual,abuse,statutory,
theft,robbery,thief,identity,petty,steal,deprive,intention,larceny,shoplifting,buglary
defect,flaw,abnormality,faulty,deformity,malfunction,misalignment,misconnection,deficiency,irregularity,glitch
consumer,retail,customer,product,ppi,market,service,shopper,merchandise,commodity,goods
felony,misdemeanor,assault,weapon,battery,grand,aggravate,seconddegree,firstdegree,seconddegree,offence
warranty,lifetime,guarantee,oem,imply,contractual,pledge,year,month,retialer,manufacturer
copyright,infringement,dmca,intellectual,material,patent,antipiracy,property,piracy,rightholder,noninfringing
trademark,register,infringement,logo,intellectual,property,violation,patent,signature,copyright,tarnishment
patent,infringement,intellectual,own,invention,ipr,trademark,register,copyright,antirust,licensing
disclaimer,caveat,footnote,cautionary,contractual,disavowal,note,eula,agreement,waiver,clause
abandonment,abrogation,abdication,disposition,proceed,divorce,relinquishment,disinheritance,dereliction,forsake,renounce
immunity,protection,sovereignty,exclusion,amnesty,liability,prosecution,invulnerability,privilege,diplomatic,pardon
discrimination,racism,segregation,harassment,inequality,affirmative,prejudice,bigotry,sexism,ageism,homophobia
act,reform,protection,enhancement,ordinance,amendment,statute,accountability,clause,legislation,section
bankruptcy,insolvency,protection,court,liquidation,company,creditor,receivership,chapter,debtor,foreclosure
creditor,unsecured,secure,bond,specialty,petition,debtor,noteholder,lender,bankruptcy,default
right,human,legal,convention,violation,civil,domestic,liberty,constitutional,natural,citizenship
fraudulent,scam,illegal,improper,deceptive,criminal,phony,forgery,fake,fictitious,dishonest
insider,confidential,trading,representative,stock,federal,violation,staffer,privy,cabal,rig
bond,contract,breach,bondsman,bail,obligation,surety,assurity,eurobond,treasury,interest
capital,asset,equity,private,investment,financial,management,liquidity,cash,financing,stock
shareholder,investor,unitholder,bondholder,shareowner,stock,securityholder,stakeholder,acquirer,noteholder,creditor
acquisition,merger,business,share,accretive,binding,combination,purchase,takeover,divestiture,buyout
goodwill,intangible,business,trademark,trust,customer,asset,patronage,cordiality,amity,loyalty
indemnity,insurance,agreement,contractual,damage,compensation,claim,liability,restitutionary,subrogee,policyholder
settlement,mediation,claim,dispute,litigation,compromise,agreement,restitution,plaintiff,litigation,accord
amortization,impairment,depreciation,interest,intangible,defer,expense,asset,revenue,disbursement,deflation
casualty,insurance,claim,commercial,accident,policy,protection,insurance,fatalaty,catastrophe,injure
exemption,rule,exclusion,clause,income,federal,taxation,law,taxfree,deduction,waiver
compensation,claim,liability,employee,wages,indemnity,remuneration,payout,severance,bonus,salary
audit,bookkeeping,oversight,reaccreditation,inquiry,accounts,inspection,review,investigation,invoice,assessment
carjacking,arm,suspect,fatal,footchase,theft,robbery,abduction,burglary,holdup,kidnapping
fiduciary,stakeholder,shareholder,equity,trustee,asset,money,parite,liability,enforce,duty
intoxication,alcoholic,reckless,aggression,involuntary,misdemeanor,defense,inebriation,drunk,dui,urination
citation,case,statute,intoxicate,speeding,case,capia,summons,infraction,warrant,reprimand
affidavit,petition,swear,statement,oath,voluntary,statement,document,complainant,testify,allegation
deed,mortgagee,agreement,indenture,escrow,covenant,trustor,leaseholder,property,easement,land
foreclosure,mortgage,loan,ownership,realtor,lender,modification,borrower,homeowner,bankruptcy,borrower
mortgage,home,broker,loan,foreclosure,estate,loan,borrower,lending,bankruptcy,agreement
will,deed,legal,testator,declaration,executor,document,estate,distribution,inheritance,property
duty,breach,tort,jurisprudence,negligence,care,obligation,responsibility,bounden,beholden,pledge
tort,litigation,injury,liability,economic,psychiatric,subrogation,loss,liability,malpractice,unconscionability
causation,principle,tort,negligence,criminal,factual,legal,unconscionability,arbitrability,correlational,nonfrivolous
endangerment,felony,abuse,assault,conviction,charge,misdemeanor,felony,risk,imperilment,intoxication
negligence,carelessness,inaction,liability,criminal,manslaughter,incompetence,misfeasance,malfeasance,malpractice,inattention
accident,crash,fatal,injury,reckless,death,collision,mishap,incident,derailment,collide
infringement,patents,trademark,intellectual,uspto,breach,copyright,dmca,wipo,violation,agreement
emancipation,independence,liberation,slavery,rights,divorce,equality,subjugation,empowerment,upliftment,indentureship
domicile,statutory,deportation,residency,belongers,jurisdiction,abode,expatriation,situs,locale,proprietorship
legitimate,conventional,common,legitimate,rights,reasonable,bonafide,valid,bogus,genuine,justifiable
voluntary,contributory,programme,organized,intentional,nonregulatory,mandatory,intoxication,sexual,involuntary,compulsory
guardianship,protection,child,custody,probate,welfare,foster,abuse,nonrelative,conservatorship,wardship
disability,guardianship,mental,child,physical,juvenile,quadriplegium,paraplegic,incapacity,dementia,illness
probate,testament,estate,property,divorce,assessor,executor,planning,conservatorship,guardianship,heirship
heir,descendant,bequeath,conventional,inheritance,succession,inheritor,scion,successor,benefactor,legatee
whistleblower,watchdog,ethic,wiretapping,employer,coverup,misconduct,leaker,employee,informant,fraud
discharge,disposition,procedure,statutory,deployment,termination,discontinuance,dismiss,employeer,job,severance
accrual,liability,limitations,claim,statute,right,remeasurement,defer,carryback,nonrecurr,expense
alimony,divorce,spousal,child,marriage,agreement,cohabitee,spouse,prenup,postnup,inheritance
custody,care,arrest,guardianship,family,police,detain,arrest,cild,divorce,bail
motion,constitutional,procedural,proceed,criminal,ruling,nonconfidence,resolution,unanimously,adjournment,replead
summons,subpoena,appear,lawsuit,complaint,command,citation,notice,warrant,writ,capia
visitation,family,alimony,divorce,separation,child,custody,guardianship,wardship,adoption,spousal
order,decree,rule,proclamation,judge,mandate,directive,injunction,habeas,instruct,edict
jurisdiction,procedure,adjudicate,regulation,geographical,legal,court,authority,purview,arbitrable,ambit
annulment,divorce,dismissal,procedure,declaration,marriage,nullification,dissolution,remarry,invalidation,legitimation
evidence,testimony,circumstantial,anecdotal,empirical,prima,conclusive,eyewitness,irrefutable,facie,alibi
insanity,madness,mayhem,disorder,insane,mental,criminal,defense,psychotic,neurosis,plea
motive,murder,cause,mensrea,intention,manslaughter,justification,witnesss,alibi,supect,accomplice
testimony,closing,evidence,cross,trial,testify,argument,examination,witness,confession,statement
trial,case,arraignment,jury,acquit,dismissal,judge,verdict,defendant,prosection,hearing
mandamus,certiorari,injunctive,petitioner,writ,judicial,relief,remedy,injunctive,interlocutory,vacatur
bail,trial,parole,sentence,verdict,fine,jail,defendant,judge,plead,payment
perpetrator,wrongful,victim,case,liable,offence,prosecution,crime,allege,grievous,suspect
prosecute,court,enforce,violate,crime,tribunal,unlawful,punish,offence,defendant,judge
lien,security,interest,property,debt,obligation,owner,encumbrance,mortgage,shipper,contract
malice,defendant,plead,offence,omission,commit,guilty,negligence,intent,provocation,infliction
notary,magistrate,counsellor,prefect,steward,signatory,clerk,endorser,registrar,lawyer,civil
plea,defendant,acquit,contendere,nolo,guilty,bargain,verdict,sentencing,indictment,insanity
preamble,statute,constitution,amend,violation,transgress,uphold,amendment,enactment,unwritten,declaration
treason,convict,execute,trial,imprison,acquit,indict,perjury,arrest,guilty,conspire
writ,habeas,corpus,mandamus,certiorarus,subjiciendum,court,defendant,warrant,judge,jurisdiction
concealment,malicious,attacker,deliberately,fraudulent,deception,unintended,deceptive,victim,evidance,forestall
coroner,autopsy,testify,criminally,homicide,testimony,investigation,affidavit,victim,witness,incriminate
